loc,loc_,loc_pair
Jumma Market,753.0,"('Jumma Market', 753.0)"
Manga - Raiwind Road,920.0,"('Manga - Raiwind Road', 920.0)"
Millat Colony,958.0,"('Millat Colony', 958.0)"
Kemari Town,794.0,"('Kemari Town', 794.0)"
BMCHS,182.0,"('BMCHS', 182.0)"
Punjab Colony,1145.0,"('Punjab Colony', 1145.0)"
Kahna Kacha,763.0,"('Kahna Kacha', 763.0)"
Cantt View Society,268.0,"('Cantt View Society', 268.0)"
Mohni Road,974.0,"('Mohni Road', 974.0)"
Kareem Garden,784.0,"('Kareem Garden', 784.0)"
Lines Area,886.0,"('Lines Area', 886.0)"
Lalukhet,869.0,"('Lalukhet', 869.0)"
Park Road,1115.0,"('Park Road', 1115.0)"
Excise & Taxation Housing Scheme,440.0,"('Excise & Taxation Housing Scheme', 440.0)"
Ismail Green Valley,705.0,"('Ismail Green Valley', 705.0)"
Canal Expressway,259.0,"('Canal Expressway', 259.0)"
Janjua Town,726.0,"('Janjua Town', 726.0)"
Cutchi Memon Cooperative Housing Society,339.0,"('Cutchi Memon Cooperative Housing Society', 339.0)"
Abdullah Ahmed Road,16.0,"('Abdullah Ahmed Road', 16.0)"
Nisbat Road,1058.0,"('Nisbat Road', 1058.0)"
Al Fajar Society,63.0,"('Al Fajar Society', 63.0)"
Shah Di Khoi,1305.0,"('Shah Di Khoi', 1305.0)"
Rajpoot Town,1186.0,"('Rajpoot Town', 1186.0)"
Shahpur Kanjra,1321.0,"('Shahpur Kanjra', 1321.0)"
Hanjarwal,641.0,"('Hanjarwal', 641.0)"
Shah Kamal Road,1309.0,"('Shah Kamal Road', 1309.0)"
Chah Miran,276.0,"('Chah Miran', 276.0)"
Partab Nagar,1119.0,"('Partab Nagar', 1119.0)"
Johar Colony,746.0,"('Johar Colony', 746.0)"
Waris Pura,1478.0,"('Waris Pura', 1478.0)"
Dhandharan Chak 66 JB,373.0,"('Dhandharan Chak 66 JB', 373.0)"
Air Force Housing Society,46.0,"('Air Force Housing Society', 46.0)"
Pir Wadhai,1135.0,"('Pir Wadhai', 1135.0)"
Agha Shahi Avenue,34.0,"('Agha Shahi Avenue', 34.0)"
Singhpura,1364.0,"('Singhpura', 1364.0)"
Allama Iqbal Road,118.0,"('Allama Iqbal Road', 118.0)"
Rifle Range Road,1226.0,"('Rifle Range Road', 1226.0)"
Sherwani Town Housing Scheme,1352.0,"('Sherwani Town Housing Scheme', 1352.0)"
Neela Gumbad,1038.0,"('Neela Gumbad', 1038.0)"
Elite Town,433.0,"('Elite Town', 433.0)"
Green City,546.0,"('Green City', 546.0)"
Defence Colony,364.0,"('Defence Colony', 364.0)"
Shah Town,1313.0,"('Shah Town', 1313.0)"
Pakistan Chowk,1106.0,"('Pakistan Chowk', 1106.0)"
Rufi Lake Drive Apartments,1237.0,"('Rufi Lake Drive Apartments', 1237.0)"
Sarai Kharbuza,1284.0,"('Sarai Kharbuza', 1284.0)"
Japan Road,727.0,"('Japan Road', 727.0)"
Saidpur,1259.0,"('Saidpur', 1259.0)"
Azadi Chowk,174.0,"('Azadi Chowk', 174.0)"
Punjab Govt. Servants Housing Foundation,1150.0,"('Punjab Govt. Servants Housing Foundation', 1150.0)"
Khalid Abad,796.0,"('Khalid Abad', 796.0)"
Dhok Naju,387.0,"('Dhok Naju', 387.0)"
Gobal Town,531.0,"('Gobal Town', 531.0)"
Dhok Hukamdad,382.0,"('Dhok Hukamdad', 382.0)"
Kamala Abad,775.0,"('Kamala Abad', 775.0)"
Canalberg Housing Society,266.0,"('Canalberg Housing Society', 266.0)"
Guru Mandir Chorangi,618.0,"('Guru Mandir Chorangi', 618.0)"
Kuri,841.0,"('Kuri', 841.0)"
Marwa Town,933.0,"('Marwa Town', 933.0)"
Kehkishan Colony No 1,792.0,"('Kehkishan Colony No 1', 792.0)"
Ismail Valley,706.0,"('Ismail Valley', 706.0)"
Rawal Road,1201.0,"('Rawal Road', 1201.0)"
Railway Road,1177.0,"('Railway Road', 1177.0)"
Lytton Road,892.0,"('Lytton Road', 892.0)"
Lahore - Jaranwala Road,849.0,"('Lahore - Jaranwala Road', 849.0)"
Nasirabad,1016.0,"('Nasirabad', 1016.0)"
D-14,344.0,"('D-14', 344.0)"
Orchard Scheme,1080.0,"('Orchard Scheme', 1080.0)"
Mumtaz City,987.0,"('Mumtaz City', 987.0)"
Imran Road,685.0,"('Imran Road', 685.0)"
Chakri,291.0,"('Chakri', 291.0)"
Bangash Colony,210.0,"('Bangash Colony', 210.0)"
Dhok Mangtal,385.0,"('Dhok Mangtal', 385.0)"
Mohallah Raja Sultan,967.0,"('Mohallah Raja Sultan', 967.0)"
Nadeem Town,1009.0,"('Nadeem Town', 1009.0)"
Shanghai Road,1340.0,"('Shanghai Road', 1340.0)"
Zaitoon Colony,1496.0,"('Zaitoon Colony', 1496.0)"
Nazir Garden Society,1037.0,"('Nazir Garden Society', 1037.0)"
Mian Colony,953.0,"('Mian Colony', 953.0)"
TIP Housing Society,1408.0,"('TIP Housing Society', 1408.0)"
Teacher Society,1425.0,"('Teacher Society', 1425.0)"
Amil Colony,129.0,"('Amil Colony', 129.0)"
Lawyers Society,878.0,"('Lawyers Society', 878.0)"
D-18,346.0,"('D-18', 346.0)"
E-12,416.0,"('E-12', 416.0)"
Taj Colony,1411.0,"('Taj Colony', 1411.0)"
Afghanabad,31.0,"('Afghanabad', 31.0)"
Rabbani Colony,1167.0,"('Rabbani Colony', 1167.0)"
Nawaz Colony,1030.0,"('Nawaz Colony', 1030.0)"
Dhok Kala Khan,383.0,"('Dhok Kala Khan', 383.0)"
Sahafi Colony,1256.0,"('Sahafi Colony', 1256.0)"
Royal Residencia,1236.0,"('Royal Residencia', 1236.0)"
Shadman 1,1300.0,"('Shadman 1', 1300.0)"
Khaira,795.0,"('Khaira', 795.0)"
Gulshan Colony,579.0,"('Gulshan Colony', 579.0)"
Mohammad Nagar,968.0,"('Mohammad Nagar', 968.0)"
Saifabad,1261.0,"('Saifabad', 1261.0)"
Khayaban-e-Faisal,810.0,"('Khayaban-e-Faisal', 810.0)"
Punjab Government Servant Housing Foundation (PGSHF),1147.0,"('Punjab Government Servant Housing Foundation (PGSHF)', 1147.0)"
Ravi Road,1199.0,"('Ravi Road', 1199.0)"
Saroba Gardens Housing Society,1287.0,"('Saroba Gardens Housing Society', 1287.0)"
Aitchison Society,55.0,"('Aitchison Society', 55.0)"
Gawala Colony,517.0,"('Gawala Colony', 517.0)"
Nizamabad,1063.0,"('Nizamabad', 1063.0)"
Islamabad Colony,695.0,"('Islamabad Colony', 695.0)"
Ashrafi Town,146.0,"('Ashrafi Town', 146.0)"
Chattar,300.0,"('Chattar', 300.0)"
Chak Jhumra,284.0,"('Chak Jhumra', 284.0)"
Sir Syed Chowk,1365.0,"('Sir Syed Chowk', 1365.0)"
Kiyani Road,827.0,"('Kiyani Road', 827.0)"
Clifton Township,326.0,"('Clifton Township', 326.0)"
Qilla Gujjar Singh,1162.0,"('Qilla Gujjar Singh', 1162.0)"
Lakhodher,861.0,"('Lakhodher', 861.0)"
Wyeth Employees Coop Housing,1486.0,"('Wyeth Employees Coop Housing', 1486.0)"
Dream Villas,412.0,"('Dream Villas', 412.0)"
Old Queens Road,1076.0,"('Old Queens Road', 1076.0)"
Sohan Valley,1375.0,"('Sohan Valley', 1375.0)"
Golra Road,536.0,"('Golra Road', 536.0)"
Daewoo Road,352.0,"('Daewoo Road', 352.0)"
New Green Town,1046.0,"('New Green Town', 1046.0)"
Himat Pura,657.0,"('Himat Pura', 657.0)"
Abid Majeed Road,22.0,"('Abid Majeed Road', 22.0)"
Ibrahim Colony,677.0,"('Ibrahim Colony', 677.0)"
Al Haram Garden,68.0,"('Al Haram Garden', 68.0)"
Karbath,782.0,"('Karbath', 782.0)"
Khudadad Colony,821.0,"('Khudadad Colony', 821.0)"
Yasrab Colony,1487.0,"('Yasrab Colony', 1487.0)"
Bawa Chack 120 JB,218.0,"('Bawa Chack 120 JB', 218.0)"
Santpura,1281.0,"('Santpura', 1281.0)"
Dhok Chiragh Din,379.0,"('Dhok Chiragh Din', 379.0)"
Guldasht Town,565.0,"('Guldasht Town', 565.0)"
Qartaba Chowk,1156.0,"('Qartaba Chowk', 1156.0)"
Lalarukh Colony,864.0,"('Lalarukh Colony', 864.0)"
Wocland Villas,1485.0,"('Wocland Villas', 1485.0)"
Davis Road,363.0,"('Davis Road', 363.0)"
Qayyumabad,1160.0,"('Qayyumabad', 1160.0)"
Stadium Road,1378.0,"('Stadium Road', 1378.0)"
PTV Society,1100.0,"('PTV Society', 1100.0)"
Madina Gardens,898.0,"('Madina Gardens', 898.0)"
Ashraf Colony,144.0,"('Ashraf Colony', 144.0)"
Sabzazar,1245.0,"('Sabzazar', 1245.0)"
Bankers Colony,213.0,"('Bankers Colony', 213.0)"
Kohinoor City,829.0,"('Kohinoor City', 829.0)"
Ali View Garden,111.0,"('Ali View Garden', 111.0)"
Angoori Bagh,136.0,"('Angoori Bagh', 136.0)"
Times Residency,1436.0,"('Times Residency', 1436.0)"
Waris Khan,1477.0,"('Waris Khan', 1477.0)"
Prem Nagar,1140.0,"('Prem Nagar', 1140.0)"
Immad Garden Housing Scheme,684.0,"('Immad Garden Housing Scheme', 684.0)"
Malot,916.0,"('Malot', 916.0)"
Lyallpur Town,889.0,"('Lyallpur Town', 889.0)"
Jan Muhammad Road,725.0,"('Jan Muhammad Road', 725.0)"
Aman Town,123.0,"('Aman Town', 123.0)"
Green Acres Housing Society,543.0,"('Green Acres Housing Society', 543.0)"
Naval Farms Housing Scheme,1024.0,"('Naval Farms Housing Scheme', 1024.0)"
Jhaal Chowk,736.0,"('Jhaal Chowk', 736.0)"
Mumtaz Colony,988.0,"('Mumtaz Colony', 988.0)"
Malik Colony,909.0,"('Malik Colony', 909.0)"
Mall Road,915.0,"('Mall Road', 915.0)"
Lahore - Islamabad Motorway,848.0,"('Lahore - Islamabad Motorway', 848.0)"
Teachers Society,1426.0,"('Teachers Society', 1426.0)"
Ibn-e-Sina Road,676.0,"('Ibn-e-Sina Road', 676.0)"
DHA City,349.0,"('DHA City', 349.0)"
Haji Park Housing Scheme,631.0,"('Haji Park Housing Scheme', 631.0)"
Bhaini Road,227.0,"('Bhaini Road', 227.0)"
Lahore - Kasur Road,850.0,"('Lahore - Kasur Road', 850.0)"
Murababad,993.0,"('Murababad', 993.0)"
Raja Bazar,1182.0,"('Raja Bazar', 1182.0)"
Chungi No. 22 Road,316.0,"('Chungi No. 22 Road', 316.0)"
Kahuta Triangle Industrial Area,766.0,"('Kahuta Triangle Industrial Area', 766.0)"
Data Darbar Road,360.0,"('Data Darbar Road', 360.0)"
Al Barkat Villas,61.0,"('Al Barkat Villas', 61.0)"
Ghausia Colony,522.0,"('Ghausia Colony', 522.0)"
Jamil Town,722.0,"('Jamil Town', 722.0)"
Gulberg Valley,564.0,"('Gulberg Valley', 564.0)"
Zubair Colony,1506.0,"('Zubair Colony', 1506.0)"
Professors Colony,1142.0,"('Professors Colony', 1142.0)"
City Villas,321.0,"('City Villas', 321.0)"
Mohan Pura,970.0,"('Mohan Pura', 970.0)"
Azmat Town,180.0,"('Azmat Town', 180.0)"
Land Breeze Housing Society,870.0,"('Land Breeze Housing Society', 870.0)"
Bhatti Colony,230.0,"('Bhatti Colony', 230.0)"
Acro Green - Bankers Avenue,27.0,"('Acro Green - Bankers Avenue', 27.0)"
Faizabad,461.0,"('Faizabad', 461.0)"
Data Ganj Bakhsh Town,362.0,"('Data Ganj Bakhsh Town', 362.0)"
Rehman Town,1216.0,"('Rehman Town', 1216.0)"
Gulshan-e-Umair,611.0,"('Gulshan-e-Umair', 611.0)"
Mauripur Road,940.0,"('Mauripur Road', 940.0)"
Malir Housing Scheme 1,913.0,"('Malir Housing Scheme 1', 913.0)"
Shah Dara,1304.0,"('Shah Dara', 1304.0)"
Raza Garden,1208.0,"('Raza Garden', 1208.0)"
Batapur,216.0,"('Batapur', 216.0)"
Old Clifton,1075.0,"('Old Clifton', 1075.0)"
Munianwala,990.0,"('Munianwala', 990.0)"
Kehkishan Colony No 2,793.0,"('Kehkishan Colony No 2', 793.0)"
Siddiqia Society (College Road),1358.0,"('Siddiqia Society (College Road)', 1358.0)"
Altaf Colony,121.0,"('Altaf Colony', 121.0)"
I. I. Chundrigar Road,672.0,"('I. I. Chundrigar Road', 672.0)"
Islamabad Enclave,696.0,"('Islamabad Enclave', 696.0)"
Farooq-e-Azam Road,468.0,"('Farooq-e-Azam Road', 468.0)"
Tariq Ismail Road,1419.0,"('Tariq Ismail Road', 1419.0)"
Pine Villas,1132.0,"('Pine Villas', 1132.0)"
Atari Saroba,166.0,"('Atari Saroba', 166.0)"
Sitara Sapna City,1370.0,"('Sitara Sapna City', 1370.0)"
Mason Road,936.0,"('Mason Road', 936.0)"
Dubban Pura,414.0,"('Dubban Pura', 414.0)"
Sitara Valley,1372.0,"('Sitara Valley', 1372.0)"
Gulzar Colony,615.0,"('Gulzar Colony', 615.0)"
Thethar,1434.0,"('Thethar', 1434.0)"
Chapal Courtyard,296.0,"('Chapal Courtyard', 296.0)"
Millat Chowk,957.0,"('Millat Chowk', 957.0)"
Gulbahar Park,560.0,"('Gulbahar Park', 560.0)"
HBFC Housing Society,626.0,"('HBFC Housing Society', 626.0)"
Nadeem Shaheed Road,1008.0,"('Nadeem Shaheed Road', 1008.0)"
Gatwala Park Road,515.0,"('Gatwala Park Road', 515.0)"
Gorakhpur,537.0,"('Gorakhpur', 537.0)"
Faisal Valley,457.0,"('Faisal Valley', 457.0)"
New Canal Park,1043.0,"('New Canal Park', 1043.0)"
UMT Society,1450.0,"('UMT Society', 1450.0)"
circular road,1508.0,"('circular road', 1508.0)"
Partal Town,1120.0,"('Partal Town', 1120.0)"
Pindorian,1131.0,"('Pindorian', 1131.0)"
Gulistan-e-Jinnah Colony,574.0,"('Gulistan-e-Jinnah Colony', 574.0)"
Al-Safaa Garden,101.0,"('Al-Safaa Garden', 101.0)"
Nazim-ud-din Road,1034.0,"('Nazim-ud-din Road', 1034.0)"
Kamal Abad,774.0,"('Kamal Abad', 774.0)"
Tezab Mill Road,1430.0,"('Tezab Mill Road', 1430.0)"
Intelligence Colony,688.0,"('Intelligence Colony', 688.0)"
Shahrah-e-Pakistan,1327.0,"('Shahrah-e-Pakistan', 1327.0)"
Sehala Farm House,1295.0,"('Sehala Farm House', 1295.0)"
Bilal Nagar,235.0,"('Bilal Nagar', 235.0)"
Chaudhary Colony,304.0,"('Chaudhary Colony', 304.0)"
Jati Umra Road,732.0,"('Jati Umra Road', 732.0)"
Prime Homes 1,1141.0,"('Prime Homes 1', 1141.0)"
Amina Park,131.0,"('Amina Park', 131.0)"
Abdullah Garden,18.0,"('Abdullah Garden', 18.0)"
Gujjarpura,555.0,"('Gujjarpura', 555.0)"
Nayyab Villas,1032.0,"('Nayyab Villas', 1032.0)"
Hajveeri Town,632.0,"('Hajveeri Town', 632.0)"
Qasim Abad,1157.0,"('Qasim Abad', 1157.0)"
Umer Valley,1453.0,"('Umer Valley', 1453.0)"
Motorway City,981.0,"('Motorway City', 981.0)"
State Bank of Pakistan Staff Co-Operative Housing Society,1379.0,"('State Bank of Pakistan Staff Co-Operative Housing Society', 1379.0)"
Ideal Homes Society,679.0,"('Ideal Homes Society', 679.0)"
Qasurpura,1159.0,"('Qasurpura', 1159.0)"
C-14,250.0,"('C-14', 250.0)"
Inmol Society,687.0,"('Inmol Society', 687.0)"
Khurrianwala Town,824.0,"('Khurrianwala Town', 824.0)"
Shahra-e-Usman,1326.0,"('Shahra-e-Usman', 1326.0)"
Gulshan-E-Mustafa Housing Society,588.0,"('Gulshan-E-Mustafa Housing Society', 588.0)"
Nain Sukh,1011.0,"('Nain Sukh', 1011.0)"
Aqsa Town,137.0,"('Aqsa Town', 137.0)"
Ataturk Avenue,167.0,"('Ataturk Avenue', 167.0)"
Mian Amiruddin Park,951.0,"('Mian Amiruddin Park', 951.0)"
Faisalabad Sangla Hill Road,458.0,"('Faisalabad Sangla Hill Road', 458.0)"
Numaish Chowrangi,1069.0,"('Numaish Chowrangi', 1069.0)"
Phulgran,1129.0,"('Phulgran', 1129.0)"
Malipura,911.0,"('Malipura', 911.0)"
Illahi Abad,682.0,"('Illahi Abad', 682.0)"
Dhok Mustaqeem Road,386.0,"('Dhok Mustaqeem Road', 386.0)"
Dhoke Ratta,397.0,"('Dhoke Ratta', 397.0)"
Gujjar Chowk,553.0,"('Gujjar Chowk', 553.0)"
Capital Smart City,271.0,"('Capital Smart City', 271.0)"
Ahsan Grand City,44.0,"('Ahsan Grand City', 44.0)"
Al-Manzar Society,97.0,"('Al-Manzar Society', 97.0)"
Fateh Jang Road,471.0,"('Fateh Jang Road', 471.0)"
Data Ganj Bakhsh Road,361.0,"('Data Ganj Bakhsh Road', 361.0)"
Kacha Road,759.0,"('Kacha Road', 759.0)"
Khana Kacha Road,799.0,"('Khana Kacha Road', 799.0)"
Alpha Society,120.0,"('Alpha Society', 120.0)"
Royal Defence Tower,1234.0,"('Royal Defence Tower', 1234.0)"
Ideal Town,680.0,"('Ideal Town', 680.0)"
Queens Road,1165.0,"('Queens Road', 1165.0)"
Saman Berg,1268.0,"('Saman Berg', 1268.0)"
Chak 279/RB Kalan,281.0,"('Chak 279/RB Kalan', 281.0)"
Green Park,549.0,"('Green Park', 549.0)"
Bahadurabad,194.0,"('Bahadurabad', 194.0)"
Poonch Road,1139.0,"('Poonch Road', 1139.0)"
Royal Avenue,1232.0,"('Royal Avenue', 1232.0)"
Ismail City,704.0,"('Ismail City', 704.0)"
Mughal Abad Road,983.0,"('Mughal Abad Road', 983.0)"
Mominpura Road,977.0,"('Mominpura Road', 977.0)"
Gangaal,507.0,"('Gangaal', 507.0)"
Budduke Manak Road,247.0,"('Budduke Manak Road', 247.0)"
Madina Homes,899.0,"('Madina Homes', 899.0)"
Siraj-ud-Daula Road,1368.0,"('Siraj-ud-Daula Road', 1368.0)"
Bokra Road,243.0,"('Bokra Road', 243.0)"
Chak 8 JB Punj Garain,282.0,"('Chak 8 JB Punj Garain', 282.0)"
Lakhu Road,862.0,"('Lakhu Road', 862.0)"
Chak 209 RB Akalgarh,280.0,"('Chak 209 RB Akalgarh', 280.0)"
Race Course Road,1170.0,"('Race Course Road', 1170.0)"
Taj Residencia,1412.0,"('Taj Residencia', 1412.0)"
Jhanda Chichi,737.0,"('Jhanda Chichi', 737.0)"
Gulistan Fatima Colony,572.0,"('Gulistan Fatima Colony', 572.0)"
FDA City,450.0,"('FDA City', 450.0)"
Chapal Skymark,297.0,"('Chapal Skymark', 297.0)"
Park Enclave,1114.0,"('Park Enclave', 1114.0)"
New Katarian,1048.0,"('New Katarian', 1048.0)"
Gulshan-e-Habib,594.0,"('Gulshan-e-Habib', 594.0)"
Kiran Villas,826.0,"('Kiran Villas', 826.0)"
Yousaf Colony,1491.0,"('Yousaf Colony', 1491.0)"
Mushtaq Park - Phase 3,995.0,"('Mushtaq Park - Phase 3', 995.0)"
Liaqat Road,880.0,"('Liaqat Road', 880.0)"
Samanabad Road,1270.0,"('Samanabad Road', 1270.0)"
Chakbeli Road,286.0,"('Chakbeli Road', 286.0)"
Saqib Town,1282.0,"('Saqib Town', 1282.0)"
Gulshan-e-Jami,599.0,"('Gulshan-e-Jami', 599.0)"
Gadap Road,504.0,"('Gadap Road', 504.0)"
Wapda Colony,1474.0,"('Wapda Colony', 1474.0)"
Rehmanpura (Harbanspura),1221.0,"('Rehmanpura (Harbanspura)', 1221.0)"
Gulshan-e-Safeer,609.0,"('Gulshan-e-Safeer', 609.0)"
Gulshan-E-Faisal,586.0,"('Gulshan-E-Faisal', 586.0)"
APP Employees Co-operative Housing Society,5.0,"('APP Employees Co-operative Housing Society', 5.0)"
Ghalib Colony,520.0,"('Ghalib Colony', 520.0)"
Public Health Society,1143.0,"('Public Health Society', 1143.0)"
Bhogiwal,231.0,"('Bhogiwal', 231.0)"
Shah Khawar Town,1311.0,"('Shah Khawar Town', 1311.0)"
Gulshan-e-Ahbab,589.0,"('Gulshan-e-Ahbab', 589.0)"
Chaudhary Jan Colony,305.0,"('Chaudhary Jan Colony', 305.0)"
NFC 2,1003.0,"('NFC 2', 1003.0)"
Chak 208 RB Dogranwala,278.0,"('Chak 208 RB Dogranwala', 278.0)"
Hakim Muhammad Ajmal Khan Road,634.0,"('Hakim Muhammad Ajmal Khan Road', 634.0)"
Nanak Pura,1012.0,"('Nanak Pura', 1012.0)"
Adan Villas,28.0,"('Adan Villas', 28.0)"
H-11,620.0,"('H-11', 620.0)"
Ilahi Abad,681.0,"('Ilahi Abad', 681.0)"
Al Rehmat Villas,83.0,"('Al Rehmat Villas', 83.0)"
Amir Town,133.0,"('Amir Town', 133.0)"
Gulshan-e-Malir,602.0,"('Gulshan-e-Malir', 602.0)"
Mediacom Avenue,944.0,"('Mediacom Avenue', 944.0)"
Railway Scheme 9,1178.0,"('Railway Scheme 9', 1178.0)"
Laraib Garden,872.0,"('Laraib Garden', 872.0)"
Al Qaim Town,79.0,"('Al Qaim Town', 79.0)"
Police Foundation Housing Society,1137.0,"('Police Foundation Housing Society', 1137.0)"
Gulshan-e-Yaseen Housing Society,613.0,"('Gulshan-e-Yaseen Housing Society', 613.0)"
Ayub National Park,173.0,"('Ayub National Park', 173.0)"
Atomic Energy Employee Society,169.0,"('Atomic Energy Employee Society', 169.0)"
Government Transport Headquarters Cooperative Housing Society,541.0,"('Government Transport Headquarters Cooperative Housing Society', 541.0)"
Al-Wahab Garden - Phase 1,102.0,"('Al-Wahab Garden - Phase 1', 102.0)"
University Town,1455.0,"('University Town', 1455.0)"
Green Park Society,550.0,"('Green Park Society', 550.0)"
PIDC,1098.0,"('PIDC', 1098.0)"
Sunflower Housing Society,1394.0,"('Sunflower Housing Society', 1394.0)"
GTS Chowk,503.0,"('GTS Chowk', 503.0)"
Sher Shah Suri Road,1346.0,"('Sher Shah Suri Road', 1346.0)"
Takht Pari,1414.0,"('Takht Pari', 1414.0)"
Gulshan-e-Haram,595.0,"('Gulshan-e-Haram', 595.0)"
T & T Colony,1406.0,"('T & T Colony', 1406.0)"
LDA City,846.0,"('LDA City', 846.0)"
Mian Mir Colony,954.0,"('Mian Mir Colony', 954.0)"
C-19,252.0,"('C-19', 252.0)"
Park View City,1117.0,"('Park View City', 1117.0)"
Cooper Road,332.0,"('Cooper Road', 332.0)"
Gulshan-e-Ali Housing Scheme,590.0,"('Gulshan-e-Ali Housing Scheme', 590.0)"
Top City 1,1440.0,"('Top City 1', 1440.0)"
Diamond City,401.0,"('Diamond City', 401.0)"
Punjab Small Industries Estate,1152.0,"('Punjab Small Industries Estate', 1152.0)"
Farooqabad,469.0,"('Farooqabad', 469.0)"
Ferozepur City,478.0,"('Ferozepur City', 478.0)"
Jagiot Road,712.0,"('Jagiot Road', 712.0)"
Railway Officers Colony,1176.0,"('Railway Officers Colony', 1176.0)"
Sunfort Gardens,1395.0,"('Sunfort Gardens', 1395.0)"
Montgomery Road,978.0,"('Montgomery Road', 978.0)"
Kohinoor Town,830.0,"('Kohinoor Town', 830.0)"
Jalal Colony,714.0,"('Jalal Colony', 714.0)"
Sahianwala,1257.0,"('Sahianwala', 1257.0)"
Ameen Town,126.0,"('Ameen Town', 126.0)"
Kallar Syedan,771.0,"('Kallar Syedan', 771.0)"
Sui Gas Employees Cooperative Housing Society,1385.0,"('Sui Gas Employees Cooperative Housing Society', 1385.0)"
Venus Housing Scheme,1461.0,"('Venus Housing Scheme', 1461.0)"
Saadi Park,1243.0,"('Saadi Park', 1243.0)"
Umair Town,1451.0,"('Umair Town', 1451.0)"
Defence Fort Housing Scheme,366.0,"('Defence Fort Housing Scheme', 366.0)"
Supreme Villas,1400.0,"('Supreme Villas', 1400.0)"
Civil Defence,322.0,"('Civil Defence', 322.0)"
Javed Colony - Ghazi Road,734.0,"('Javed Colony - Ghazi Road', 734.0)"
Athal,168.0,"('Athal', 168.0)"
Rawat Enclave,1205.0,"('Rawat Enclave', 1205.0)"
Akbar Town,60.0,"('Akbar Town', 60.0)"
Faisal Ghuman Road,454.0,"('Faisal Ghuman Road', 454.0)"
Circular Road,318.0,"('Circular Road', 318.0)"
Imam Bara Road,683.0,"('Imam Bara Road', 683.0)"
Catholic Colony,272.0,"('Catholic Colony', 272.0)"
Akbar Chowk,58.0,"('Akbar Chowk', 58.0)"
Chak Bahga,283.0,"('Chak Bahga', 283.0)"
Ghousia Colony,526.0,"('Ghousia Colony', 526.0)"
Zafar ul Haq Road,1493.0,"('Zafar ul Haq Road', 1493.0)"
Yazdani Road,1488.0,"('Yazdani Road', 1488.0)"
City Garden,320.0,"('City Garden', 320.0)"
Tumair,1447.0,"('Tumair', 1447.0)"
Judicial Employees Coop Housing Society,751.0,"('Judicial Employees Coop Housing Society', 751.0)"
Sunderdas Road,1393.0,"('Sunderdas Road', 1393.0)"
PTV Colony,1099.0,"('PTV Colony', 1099.0)"
Raheemabad,1173.0,"('Raheemabad', 1173.0)"
Sharaqpur Road,1341.0,"('Sharaqpur Road', 1341.0)"
Zone 5,1504.0,"('Zone 5', 1504.0)"
Abu Alkhair Road,25.0,"('Abu Alkhair Road', 25.0)"
"Faisalabad, Punjab",459.0,"('Faisalabad, Punjab', 459.0)"
Asif Town,148.0,"('Asif Town', 148.0)"
Dhoke Dalal Road,392.0,"('Dhoke Dalal Road', 392.0)"
PAF Society,1089.0,"('PAF Society', 1089.0)"
Nooriabad,1065.0,"('Nooriabad', 1065.0)"
Old Ravians Co-Operative Housing Society,1077.0,"('Old Ravians Co-Operative Housing Society', 1077.0)"
Police Society,1138.0,"('Police Society', 1138.0)"
Altaf Hussain Road,122.0,"('Altaf Hussain Road', 122.0)"
Federal Government Employees Housing Foundation,477.0,"('Federal Government Employees Housing Foundation', 477.0)"
Firdous Colony,481.0,"('Firdous Colony', 481.0)"
Samsani Road,1274.0,"('Samsani Road', 1274.0)"
Chirah,313.0,"('Chirah', 313.0)"
Gulfishan Town,567.0,"('Gulfishan Town', 567.0)"
Bagh Sardaran,191.0,"('Bagh Sardaran', 191.0)"
Infantry Road,686.0,"('Infantry Road', 686.0)"
Al-Jadeed Residency,93.0,"('Al-Jadeed Residency', 93.0)"
Sozo Town,1376.0,"('Sozo Town', 1376.0)"
"Lahore, Punjab",859.0,"('Lahore, Punjab', 859.0)"
Al Fayaz Colony,64.0,"('Al Fayaz Colony', 64.0)"
Hamza Villas,639.0,"('Hamza Villas', 639.0)"
Tandlianwala Town,1416.0,"('Tandlianwala Town', 1416.0)"
Capital Awami Villas,269.0,"('Capital Awami Villas', 269.0)"
Munir Garden,991.0,"('Munir Garden', 991.0)"
Vista Homes,1463.0,"('Vista Homes', 1463.0)"
Gulshan-e-Millat,603.0,"('Gulshan-e-Millat', 603.0)"
Mayo Gardens,941.0,"('Mayo Gardens', 941.0)"
Kuri Model Town,842.0,"('Kuri Model Town', 842.0)"
Dhok Elahi Baksh,380.0,"('Dhok Elahi Baksh', 380.0)"
Sangjani,1279.0,"('Sangjani', 1279.0)"
Sundar Road,1392.0,"('Sundar Road', 1392.0)"
Siddiqia Mill Colony,1357.0,"('Siddiqia Mill Colony', 1357.0)"
Bagh-e-Korangi,192.0,"('Bagh-e-Korangi', 192.0)"
Beaumont Road,221.0,"('Beaumont Road', 221.0)"
Aiza Garden,56.0,"('Aiza Garden', 56.0)"
Momin Pura,975.0,"('Momin Pura', 975.0)"
Rehmanabad,1218.0,"('Rehmanabad', 1218.0)"
Tahir Villa,1409.0,"('Tahir Villa', 1409.0)"
OPF Valley,1072.0,"('OPF Valley', 1072.0)"
Raja Akhtar Road,1181.0,"('Raja Akhtar Road', 1181.0)"
