loc,loc_,loc_pair
National Police Foundation O-9,1020.0,"('National Police Foundation O-9', 1020.0)"
Korang Road,833.0,"('Korang Road', 833.0)"
I-8,670.0,"('I-8', 670.0)"
Shah Allah Ditta,1303.0,"('Shah Allah Ditta', 1303.0)"
G-7,497.0,"('G-7', 497.0)"
Fazaia Colony,473.0,"('Fazaia Colony', 473.0)"
New Lalazar,1049.0,"('New Lalazar', 1049.0)"
Cricketer Villas,338.0,"('Cricketer Villas', 338.0)"
Rehman Villas,1217.0,"('Rehman Villas', 1217.0)"
Faisal Town,455.0,"('Faisal Town', 455.0)"
Harbanspura Road,643.0,"('Harbanspura Road', 643.0)"
Alfalah Town,103.0,"('Alfalah Town', 103.0)"
Punjab Govt Employees Society,1148.0,"('Punjab Govt Employees Society', 1148.0)"
Ashiana-e-Quaid Housing Scheme,143.0,"('Ashiana-e-Quaid Housing Scheme', 143.0)"
GT Road,502.0,"('GT Road', 502.0)"
Affandi Colony,30.0,"('Affandi Colony', 30.0)"
Sadiqabad,1251.0,"('Sadiqabad', 1251.0)"
Defence View Society,369.0,"('Defence View Society', 369.0)"
P & T Colony,1084.0,"('P & T Colony', 1084.0)"
Sea View Apartments,1294.0,"('Sea View Apartments', 1294.0)"
Tariq Road,1420.0,"('Tariq Road', 1420.0)"
Saddar,1248.0,"('Saddar', 1248.0)"
Shalimar Housing Scheme,1331.0,"('Shalimar Housing Scheme', 1331.0)"
Garrison Homes,513.0,"('Garrison Homes', 513.0)"
Khayaban-e-Amin,809.0,"('Khayaban-e-Amin', 809.0)"
Shahdara,1315.0,"('Shahdara', 1315.0)"
Iqbal Park,690.0,"('Iqbal Park', 690.0)"
Baldia Town,206.0,"('Baldia Town', 206.0)"
Lehtarar Road,879.0,"('Lehtarar Road', 879.0)"
G-9,499.0,"('G-9', 499.0)"
E-14,417.0,"('E-14', 417.0)"
Karakoram Diplomatic Enclave,780.0,"('Karakoram Diplomatic Enclave', 780.0)"
Paradise Valley,1112.0,"('Paradise Valley', 1112.0)"
Misryal Road,962.0,"('Misryal Road', 962.0)"
Model Colony,963.0,"('Model Colony', 963.0)"
Mustafa Town,1000.0,"('Mustafa Town', 1000.0)"
Walton Road,1472.0,"('Walton Road', 1472.0)"
New Super Town,1054.0,"('New Super Town', 1054.0)"
West Wood Housing Society,1482.0,"('West Wood Housing Society', 1482.0)"
Ghulam Mohammad Abad,527.0,"('Ghulam Mohammad Abad', 527.0)"
