location,Property_counts,mean_price,min_price,max_price
Habibullah Road,13,20818918.91891892,7800000,59000000
Haji Park Housing Scheme,13,5266666.666666667,5000000,5500000
Hajvery Housing Scheme,13,12124324.324324325,2600000,30000000
Hakim Town,13,3340000.0,2000000,4500000
Hall Road,13,52500000.0,30000000,75000000
Hameedpura,13,4062500.0,2100000,6000000
Hamza Town,13,4336341.463414635,2200000,17000000
Hanif Park Harbanspura,13,8137500.0,6500000,12000000
Hanjarwal,12,7833333.333333333,3500000,10000000
Harbanspura,12,9855714.285714285,1800000,300000000
Harbanspura Road,12,8241000.0,1300000,70000000
Hassan Town,12,8888095.238095239,3100000,25000000
Heaven Homes,12,9825000.0,9000000,10500000
Heir,12,2500000.0,2500000,2500000
Highcourt Society,12,10621739.130434783,2000000,28000000
Hudiara,12,22500000.0,22500000,22500000
IBL Housing Scheme,12,4633333.333333333,3400000,6000000
IEP Engineers Town,12,30506060.606060605,2900000,60000000
Ibrahim Colony,11,2300000.0,1300000,3500000
Ichhra,11,10073267.326732673,1800000,90000000
Immad Garden Housing Scheme,11,5145454.545454546,2500000,8500000
Infantry Road,11,17607142.85714286,7500000,35000000
Inmol Society,11,28333333.333333332,25000000,30000000
Iqbal Avenue,11,46871698.11320755,15500000,805000000
Iqbal Park,11,11885483.870967742,4500000,23500000
Irrigation Cooperative Housing Society,11,12450000.0,1900000,23000000
Islam Nagar,11,11515384.615384616,7000000,28500000
Islamabad Colony,11,4707500.0,2400000,7500000
Islamia Park,10,18091304.347826086,5000000,60000000
Islampura,10,19837623.762376238,3600000,180000000
Ittehad Colony,10,9572222.222222222,3200000,29500000
Ittifaq Town,10,12415000.0,3300000,30000000
Izmir Town,10,28197435.897435896,2400000,120000000
Jaffar Town,10,10275000.0,7500000,16000000
Jaffaria Colony,10,8150000.0,4500000,14000000
Jail Road,10,54544444.44444445,2500000,350000000
Jalal Colony,10,13833333.333333334,10500000,16000000
Jalal Pura,10,4000000.0,4000000,4000000
Jallo,10,4341428.571428572,1200000,9000000
Jallo Park Road,10,6733333.333333333,2500000,12200000
Jamal Homes,10,9000000.0,9000000,9000000
Jamil Town,9,7428571.428571428,5500000,8500000
Jan Muhammad Road,9,10000000.0,8000000,12000000
Jaranwala Road,9,303633333.3333333,7900000,884000000
Jati Umra Road,9,10375000.0,4500000,24000000
Javed Colony - Ghazi Road,9,5500000.0,4500000,6500000
Jewa Town,9,2000000.0,2000000,2000000
Jia Baga Road,9,8000000.0,5800000,12000000
Jinnah Colony,9,6954545.454545454,3000000,13000000
Johar Town,9,19519658.549740933,1,200000000
Jora Pull,9,5822222.222222222,4000000,9500000
Jubilee Town,9,10968806.306306306,2395000,22500000
Judicial Colony,9,22789473.684210528,6000000,45000000
Kacha Ferozepur Road,9,17187500.0,7000000,32500000
Kacha Jail Road,9,5780769.230769231,2900000,9000000
Kacha Lawrence Road,9,5000000.0,5000000,5000000
Kacha Road,9,3800000.0,3800000,3800000
Kachupura,9,13833333.333333334,9500000,20000000
Kahna,8,4159154.9295774647,1500000,12000000
Kahna Kacha,8,4675000.0,2200000,8000000
Kakezai Housing Society,8,10500000.0,5000000,18000000
Kala Khatai Road,8,5000000.0,5000000,5000000
Kalma Chowk,8,33500000.0,10500000,45000000
Kamahan Road,8,9393103.448275862,2000000,150000000
Karbath,8,12000000.0,10000000,14000000
Karim Park,8,17500000.0,5500000,36500000
Katar Bund Road,8,5888888.888888889,2200000,9000000
Khaira,8,4000000.0,4000000,4000000
Khana Kacha Road,8,2650000.0,2500000,2800000
Kharak,8,4565000.0,2500000,7000000
Khawaja Ahmed Hassan Road,8,14000000.0,14000000,14000000
Khayaban-e-Amin,8,5173976.851851852,1500000,26000000
Khayaban-e-Jinnah Road,8,12743400.0,3517000,29000000
Khayaban-e-Quaid,8,7157142.857142857,2200000,24500000
Khayaban-e-Zohra,8,16500000.0,13000000,22500000
Khokhar Town,8,5500000.0,4500000,6500000
Kot Khawaja Saeed,8,12575000.0,3200000,32000000
Kot Lakhpat,8,10572916.666666666,2800000,50000000
Kotli Abdur Rahman,7,5500000.0,2800000,12000000
Krishan Nagar,7,22187500.0,9500000,39500000
LDA Avenue,7,16230000.0,1300000,29500000
LDA City,7,5366666.666666667,4500000,6000000
Labor Colony,7,1710597.8260869565,1250000,2600000
Lahore - Islamabad Motorway,7,3255000.0,1990000,8500000
Lahore - Jaranwala Road,7,4336000.0,2490000,5000000
Lahore - Kasur Road,7,5240000.0,2700000,9500000
Lahore Canal Bank Cooperative Housing Society,7,16928571.42857143,8500000,25000000
Lahore Cantt Coop Housing,7,100000000.0,35000000,180000000
Lahore Garden Housing Scheme,7,7030208.333333333,2800000,18000000
Lahore Medical Housing Society,7,10368384.879725086,4200000,35000000
Lahore Motorway City,7,9181578.94736842,500000,62000000
Lahore Press Club Housing Scheme,7,17611111.111111112,8500000,25000000
Lahore Villas,7,2600000.0,2600000,2600000
"Lahore, Punjab",7,15250000.0,11000000,19500000
Lake City,7,21341509.74025974,3735000,179000000
Lakhodher,7,7050000.0,5500000,8600000
Lakshmi Chowk,7,90000000.0,30000000,150000000
Lalazaar Garden,6,7441805.555555556,1300000,12500000
Lalazar,6,7214912.280701755,2300000,20000000
Land Breeze Housing Society,6,9075333.333333334,6169000,15400000
Lawrence Road,6,46383333.333333336,6500000,238000000
Liaquatabad,6,9250000.0,3500000,15000000
Lower Mall,6,56000000.0,2000000,110000000
Lytton Road,6,8000000.0,6000000,9000000
Madar-e-Millat Road,6,55000000.0,55000000,55000000
Madina Colony,6,8695652.173913043,3300000,22500000
Madina Homes,6,6666666.666666667,6500000,7000000
Madina Town,6,8570000.0,3400000,15000000
Mahmood Road,6,9000000.0,9000000,9000000
Main Canal Bank Road,6,16037327.586206896,1500000,140000000
Makkah Colony,6,8281818.181818182,4000000,12500000
Makki Complex,6,5850000.0,3200000,8500000
Malik Park,6,11020000.0,5500000,22500000
Malipura,6,14250000.0,6000000,22500000
Mall Road,6,323446571.4285714,3500000,2000000000
Manawan,6,4830901.639344262,1700000,12500000
Manga - Raiwind Road,6,3837500.0,1950000,5200000
Manga Mandi,6,9213571.42857143,1495000,25000000
Mansoorah,6,12500000.0,3500000,35000000
Manzoor Colony,5,6366666.666666667,3600000,9500000
Marghzar Officers Colony,5,14188410.404624278,2500000,40000000
Maryam Town,5,2000000.0,2000000,2000000
Mason Road,5,26500000.0,13000000,40000000
Mateen Avenue,5,8385714.285714285,4300000,17500000
Mateen Garden,5,15000000.0,15000000,15000000
Maulana Shaukat Ali Road,5,66250000.0,2500000,130000000
Mayo Gardens,5,5200000.0,5200000,5200000
McLeod Road,5,26500000.0,21000000,32000000
Mehar Fayaz Colony,5,6947619.047619048,3300000,16500000
Meharpura,5,4800000.0,4800000,4800000
Mehmood Booti,5,4400000.0,2500000,7500000
Meraj Park,5,7500000.0,7500000,7500000
Mian Amiruddin Park,5,6730000.0,3600000,14000000
Mian Aziz Garden,5,5333333.333333333,4500000,7000000
Mian Colony,5,10250000.0,9500000,11000000
Mian Mir Colony,5,5363636.363636363,3000000,7500000
Military Accounts Housing Society,5,11745815.584415585,5700000,25000000
Millat Colony,5,4300000.0,4300000,4300000
Millat Road,5,6900000.0,5500000,9500000
Misri Shah,5,11200000.0,6000000,30000000
Model Colony,5,9928571.42857143,5500000,14500000
Model Town,5,80532324.69512194,30000,550000000
Mohafiz Town,5,22357142.85714286,6000000,47500000
Mohlanwal,5,7775000.0,6800000,10000000
Mohlanwal Road,5,5800000.0,2500000,13500000
Mohlanwal Scheme,5,17500000.0,17500000,17500000
Mohni Road,5,18200000.0,7000000,29500000
Mominpur,5,7250000.0,5000000,9500000
Mominpura Road,5,4840000.0,2500000,8000000
Montgomery Road,5,20000000.0,20000000,20000000
Mozang,5,19516071.42857143,2550000,77500000
Mughalpura,5,10633333.333333334,2200000,50000000
Multan Road,5,9726331.52173913,1495000,200000000
Munir Garden,5,6500000.0,6500000,6500000
Muqaddas Park,5,20000000.0,19000000,22000000
Mushtaq Park - Phase 3,5,22500000.0,22500000,22500000
Muslim Nagar Housing Scheme,5,14228571.42857143,4600000,30000000
Muslim Town,5,32477272.727272727,1150000,180000000
Mustafa Abad,5,19933333.333333332,3800000,39500000
Mustafa Town,5,14884042.553191489,4350000,30000000
NFC 1,4,38001298.7012987,12500000,100000000
NFC 2,4,30000000.0,30000000,30000000
Nabha Road,4,18500000.0,18500000,18500000
Nabi Pura,4,9500000.0,6500000,12500000
Nadeem Shaheed Road,4,9516428.57142857,1790000,15500000
Nadeem Town,4,8355555.555555556,5000000,12000000
Nai Abadi Harbanspura,4,20666666.666666668,6000000,50000000
Nain Sukh,4,4750000.0,1500000,7000000
Nasheman-e-Iqbal,4,18239534.88372093,7500000,60000000
Nasirabad,4,7666666.666666667,5000000,11000000
National Town,4,14166666.666666666,2700000,30000000
Nawab Town,4,17492500.0,4950000,250000000
Nayyab Villas,4,8800000.0,7600000,10000000
Naz Town,4,6550000.0,3100000,10000000
Nazir Garden Society,4,15780000.0,3500000,45000000
Neela Gumbad,4,30000000.0,30000000,30000000
New Canal Park,4,18000000.0,9500000,26000000
New Chauburji Park,4,21992592.592592593,5000000,34000000
New Muslim Town,4,76284444.44444445,3300000,230000000
New Samanabad,4,16250000.0,3000000,22000000
New Shah Kamal Colony,4,12300000.0,4000000,37000000
New Super Town,4,15362068.965517242,8500000,50000000
Nisbat Road,4,16900000.0,10000000,25000000
Nishat Colony,4,5963888.888888889,1750000,25000000
Nishtar Colony,4,5837038.461538462,1700000,16000000
Nizamabad,4,5690000.0,3150000,11000000
Noor Jahan Road,4,19100000.0,8200000,30000000
OPF Housing Scheme,4,22975294.11764706,2400000,40000000
Officer Colony,4,9600000.0,2300000,18500000
Omega Homes,4,3597450.9803921566,1990000,4490000
Others,4,2200000.0,2200000,2200000
Outfall Road,4,13666666.666666666,6000000,17500000
P & D Housing Society,4,20983333.333333332,10500000,52500000
PAF Colony,4,35333333.333333336,21000000,50000000
PAF Society,4,32500000.0,13500000,51500000
PASSCO Housing Society,3,33642857.14285714,18500000,91500000
PCSIR Housing Scheme,3,37579699.2481203,2700000,179000000
PCSIR Staff Colony,3,19372727.272727273,6500000,35000000
PIA Housing Scheme,3,24837044.33497537,5520000,45000000
PIA Main Boulevard,3,17625000.0,9000000,24000000
Pak Arab Housing Society,3,13808895.34883721,25000,40000000
Pak Park,3,4512500.0,3500000,5500000
Pakki Thatti,3,14620000.0,3600000,38000000
Palm Villas,3,5593684.2105263155,2395000,22500000
Paragon City,3,15523499.142367067,5000000,225000000
Park View Villas,3,11375638.686131386,7500000,26000000
Peco Road,3,9944000.0,2500000,49600000
Peer Colony,3,10625000.0,7500000,15000000
Pine Villas,3,21750000.0,17500000,26000000
Pir Naseer,3,4320000.0,2950000,6700000
Poonch Road,3,20071428.57142857,6000000,30000000
Prem Nagar,3,3500000.0,3500000,3500000
Prime Homes 1,3,6462500.0,3800000,8000000
Public Health Society,3,8566666.666666666,2200000,12500000
Punjab Coop Housing Society,3,17123374.045801528,24000,42500000
Punjab Govt Employees Society,3,24506315.789473683,6500000,80000000
Punjab Govt Servant Society,3,10900000.0,6500000,31000000
Punjab Small Industries Colony,3,11430769.23076923,4500000,27500000
Punjab University Employees Society,3,17741509.433962263,6500000,240000000
Qadri Colony,3,5800000.0,3200000,8700000
Qartaba Chowk,3,2950000.0,2400000,3500000
Qasurpura,3,5350000.0,4500000,6200000
Qazi Town,3,5860000.0,4100000,9000000
Qilla Gujjar Singh,3,31333333.333333332,10000000,70000000
Queens Road,3,46600000.0,15500000,77500000
Race Course Road,3,25800000.0,12000000,30000000
Rail Town (Canal City),3,18076923.076923076,12500000,41000000
Railway Officers Colony,3,15000000.0,11500000,18500000
Raiwind Road,3,17659058.394160584,1100000,416000000
Raj Garh,3,15830769.23076923,4100000,55000000
Rajgarh Road,3,16090909.090909092,9000000,17500000
Rajpoot Town,3,17700000.0,9000000,27500000
Rana Shaukat Mehmood Road,3,9000000.0,9000000,9000000
Rana Town,3,4422727.2727272725,1200000,8000000
Rang Mahal,3,10000000.0,6500000,15000000
Rasool Park,3,15177142.857142856,2000000,60000000
Ravi Park,3,14480000.0,6800000,25000000
Ravi Road,3,18928571.42857143,7500000,52500000
Real Cottages,3,10000000.0,10000000,10000000
Rehan Garden,3,10360000.0,3300000,22500000
Rehman City - Phase 4,3,4400000.0,2300000,12000000
Rehman Gardens,3,9914285.714285715,7500000,16000000
Rehman Housing Society,3,10500000.0,10500000,10500000
Rehman Park,3,7112500.0,6500000,9000000
