location,p_counts,min_price,max_price,mean_price
Nisar Colony,75,18000,37500000,6532600.0
Nishatabad,26,20000,10000000,3315076.923076923
Officers Colony,110,28000,70000000,18798163.636363637
Others,161,8000,145200000,4700894.409937888
Paradise Valley,9,8000000,200000000,93388888.8888889
Partab Nagar,5,35000,15000000,6997000.0
Peoples Colony No 1,158,25000,360000000,16366943.037974684
Peoples Colony No 2,54,10000,60000000,12242925.925925925
Punjab Govt. Servants Housing Foundation,27,35000,25000000,6958333.333333333
Punjab Small Industries Estate,2,25000,33000,29000.0
Qamar Garden,2,125000,16500000,8312500.0
Qasim Abad,1,7500000,7500000,7500000.0
Quaid-e-Azam Park,1,4700000,4700000,4700000.0
Rabbani Colony,7,22000,13500000,5894571.428571428
Rachna Town,49,15000,18000000,5317571.428571428
Raheem Gardens,7,23000,12000000,5253285.714285715
Railway Road,1,35000,35000,35000.0
Raja Colony,1,9000000,9000000,9000000.0
Raja Park,1,1200000,1200000,1200000.0
Rasheed Nagar,4,4500000,5500000,5000000.0
Rasool Nagar,6,20000,35000000,5850000.0
Rasool Park,11,15000,8000000,2762272.727272727
Ravi Gardens,2,33000,10500000,5266500.0
Raza Abad,12,2250000,13000000,6579166.666666667
Raza Garden,18,190000,82500000,41552222.222222224
Rehman Gardens,21,20000,30000000,9245714.285714285
Rehman Pura,1,5000000,5000000,5000000.0
Rehman Town,10,25000,20000000,4565000.0
Rehman Villas,7,30000,24000000,9432857.142857144
Rehmania Town,3,18000,15000000,5022666.666666667
Riaz ul Jannah,12,5200000,32500000,19016666.666666668
Ryaz ul Jannah,1,3500000,3500000,3500000.0
SMD Homes,12,2500000,2800000,2691666.6666666665
Saddar,3,5000000,20000000,11166666.666666666
Saeed Colony,79,35000,85000000,16921835.443037976
Sahianwala,1,4800000,4800000,4800000.0
Saifabad,4,3700000,9200000,6225000.0
Samanabad,36,12000,72500000,11449777.777777778
Samanabad Road,2,9000000,10000000,9500000.0
Samundari Road,354,15000,35000000,5680858.757062146
Santpura,5,9500000,150000000,42600000.0
Sargodha Road,63,20000,40000000,7752730.158730159
Satellite Town,4,3700000,7500000,4875000.0
Satiana Road,507,7000,229500000,8045749.506903353
Shadab Colony,13,15000,22500000,5688846.153846154
Shadman Colony,13,27000,70000000,23469538.46153846
Shahbaz Town,13,25000,18000000,8795769.23076923
Shahzad Colony,12,12000,35000000,14263500.0
Shalimar Park,14,13000,8500000,4086571.4285714286
Sheikh Colony,22,16000,40000000,13976909.090909092
Siddiqia Mill Colony,1,3700000,3700000,3700000.0
Sir Syed Town,27,14000,15000000,7716259.259259259
Sitara Colony,10,17000,10000000,5326700.0
Sitara Sapna City,20,40000,40000000,12003500.0
Sitara Supreme City,2,11500000,18000000,14750000.0
Sitara Valley,4,7000000,17500000,14225000.0
Steam Power Station Colony,1,8500000,8500000,8500000.0
Suhail Abad,3,2500000,6500000,5133333.333333333
Susan Road,44,25000,160000000,36763272.72727273
Taj Colony,3,6500000,8000000,7333333.333333333
Tandlianwala Town,2,5500000,6000000,5750000.0
Tariqabad,10,45000,12000000,6354500.0
Tezab Mill Road,4,15000,11500000,5503750.0
Umair Town,2,29000,8000000,4014500.0
Umer Garden,30,30000,15000000,861933.3333333334
Umer Valley,2,3500000,3800000,3650000.0
University Town,4,24000000,50000000,37250000.0
Usman Town,11,2600000,13000000,6268181.818181818
Valencia Gardens,24,20000,9500000,1794500.0
Vista Homes,3,4575000,10000000,7858333.333333333
Wapda City,271,25000,45000000,14019808.11808118
Wapda Town,1,6960000,6960000,6960000.0
Waris Pura,10,10000,17000000,5033000.0
Yasrab Colony,1,8500000,8500000,8500000.0
Younas Town,11,17000,8500000,2355363.6363636362
Yousaf Town,41,10000,9500000,2276439.024390244
Zia Colony,12,75000,40000000,16088750.0
Zubair Colony,1,2700000,2700000,2700000.0
Zulfiqar Colony,3,3800000,8500000,6266666.666666667
