location,Property_counts,mean_price,min_price,max_price
Misryal Road,4,5722991.869918699,10000,22500000
Model Colony,4,5425000.0,3700000,8000000
Model Town Humak,4,8750000.0,7500000,10000000
Mohallah Raja Sultan,4,2015500.0,18000,8000000
Mohammadi Colony,4,6380000.0,20000,12000000
Mohan Pura,4,22750000.0,13000000,33000000
Momin Pura,4,50000000.0,50000000,50000000
Morgah,4,6712096.774193549,9000,35000000
Mughal Abad Road,3,25000000.0,25000000,25000000
Mumtaz Colony,3,15270769.23076923,20000,80000000
Munawar Colony,3,7038000.0,16000,25000000
Murree Road,3,19737504.76190476,7600,176000000
Muslim Town,3,6596868.725868726,8000,25000000
Nanak Pura,3,22500000.0,22500000,22500000
Naseerabad,3,7833333.333333333,7500000,8000000
National Garden Housing Scheme,3,5788888.888888889,3200000,8500000
Nawaz Colony,3,7590625.0,25000,15000000
New Afzal Town,3,7583333.333333333,4000000,15000000
New Katarian,3,20503000.2,1,55000000
New Lalazar,3,11667154.639175259,16000,55000000
Nussah Town,3,6000000.0,6000000,6000000
Others,3,10840166.666666666,23000,25000000
PAF Residential Area,3,39900000.0,39900000,39900000
PIA Colony,3,4377423.076923077,14000,15000000
PWD Colony,3,3756000.0,4000,17000000
Palm City,3,5772222.222222222,2800000,9000000
Park View,3,45000.0,45000,45000
Peer Meher Ali Shah Town,3,5043578.947368421,14000,13000000
People Colony,3,1311257.3529411764,11500,8500000
Peshawar Road,3,14334444.881889764,13000,400000000
Pindora,3,13256568.181818182,4500,37500000
Pir Wadhai,3,7864210.52631579,10000,20000000
Police Foundation Housing Scheme,3,7084038.461538462,8000,27000000
Professors Colony,3,8227272.7272727275,7000000,13000000
Punjab Government Servant Housing Foundation (PGSHF),3,3233363.6363636362,17000,8000000
Qasimabad,3,5835857.142857143,19000,11000000
Quaid-e-Azam Colony,3,4178250.0,13000,9800000
Race Course,2,20573500.0,115000,40000000
Raheemabad,2,6500000.0,6500000,6500000
Rail View Housing Society,2,6919791.666666667,2900000,13000000
Railway Scheme 9,2,4932142.857142857,25000,7200000
Raja Bazar,2,12250000.0,12000000,12500000
Range Road,2,9139253.937007874,0,200000000
Ranial,2,4875000.0,3750000,6000000
Rawal Road,2,19711111.111111112,5500000,100000000
"Rawalpindi, Punjab",2,10350000.0,4400000,18000000
Rawat,2,4950058.823529412,23000,13000000
Rawat Enclave,2,5500000.0,5500000,5500000
Rawat Industrial Estate,2,45000.0,45000,45000
Rehmanabad,2,14083333.333333334,13000000,15000000
Riaz Qureshi Road,2,100000.0,100000,100000
Sabzazar,2,12933571.42857143,35000,19500000
Saddar,1,10890080.64516129,7500,35000000
Sadiqa Abad,1,8082655.172413793,22000,22500000
Sadiqabad,1,7099132.530120482,15000,23000000
Safari View Residencia,1,4311250.0,35000,12500000
Saidpur Road,1,20495794.11764706,15000,140000000
Samarzar Housing Society,1,4283425.742574258,16000,13500000
Sangar Town,1,7258682.926829268,16000,14000000
Sarafa Bazar,1,13007500.0,15000,35000000
Sarwar Road,1,37520000.0,35000,125000000
Satellite Town,1,13515259.70548862,9000,650000000
Shah Khalid Colony,1,6101600.0,16000,11000000
Shaheen Town,1,7003500.0,21000,11000000
Shakrial,1,5195500.0,11000,12500000
